Date,Actual_Close,AR_Forecast,MA_Forecast,ARIMA_Forecast,SARIMA_Forecast,SARIMAX_Forecast
2026-07-06,366.4599914550781,360.87075866076515,346.40690355542824,360.1122463511307,360.59652537218005,360.6059453134893
2026-07-07,367.0299987792969,360.94070885405375,320.61824474141315,360.29530184317395,360.6169552706413,360.6533546775926
2026-07-08,361.9200134277344,359.7753153884221,280.6279178754944,360.2989016444653,361.348480751226,361.40979485470865
2026-07-09,358.8900146484375,360.32800897378667,228.19352124032258,360.13137333351796,361.5359820206668,361.5700102434822
2026-07-10,357.17999267578125,361.5319262051972,187.6185707542287,359.94609263928714,361.5553251059062,361.6358384144988
2026-07-13,352.510009765625,362.1685517444357,169.69820754048473,359.90627817261765,362.28037356659644,362.34497785062115
2026-07-14,359.510009765625,362.5347104375037,169.69820754048473,360.0418679155119,362.31389682427977,362.35397973906805
2026-07-15,370.9200134277344,364.12117862845986,169.69820754048473,360.2277696819098,363.05047031959657,363.0323059718159
2026-07-16,354.4599914550781,363.87169400602806,169.69820754048473,360.29900191180263,363.2385983495453,363.1258657586461
2026-07-17,346.7699890136719,364.5088739395515,169.69820754048473,360.19694393715173,363.2582641834914,363.22350871032415
2026-07-20,351.989990234375,364.7042421257507,169.69820754048473,360.01716736478556,363.9833777322601,363.95433558372986
2026-07-21,347.1499938964844,365.1175490589905,169.69820754048473,359.92021619233117,364.0169103437376,363.9900538414287
2026-07-22,342.0899963378906,365.56676405854057,169.69820754048473,359.9883899306834,364.75348221727825,364.6322385064819
2026-07-23,317.69000244140625,365.989066863662,169.69820754048473,360.1561538119493,364.94160858899676,364.6162469025474
2026-07-24,319.739990234375,366.3454715891688,169.69820754048473,360.27276280103257,364.9612733534942,364.8879777892238
2026-07-27,326.5599975585937,366.8753125423548,169.69820754048473,360.237567523167,365.6863864263275,365.6086582298056
2026-07-28,333.7099914550781,367.40451499404605,169.69820754048473,360.08668445381574,365.7199188496515,365.6307049331867
2026-07-29,336.7099914550781,367.78521938685685,169.69820754048473,359.95658643062126,366.4564906554376,366.39164993674217
2026-07-30,333.6600036621094,368.22396341342983,169.69820754048473,359.9608107199305,366.64461700442644,366.55571584836747
2026-07-31,356.1300048828125,368.72263386897737,169.69820754048473,360.0910389784449,366.66428176194245,366.47814654917954
2026-08-03,373.510009765625,369.06154816375044,169.69820754048473,360.2285832067089,367.389394832815,367.2295130651563
2026-08-04,377.6499938964844,369.5564922850312,169.69820754048473,360.25240282534855,367.4229272556589,367.27895411136234
2026-08-05,362.4299926757813,369.96606777562783,169.69820754048473,360.1454816679376,368.15949906135546,367.9550824400854
2026-08-06,357.75,370.4106110374141,169.69820754048473,360.00620225925366,368.34762541034047,368.2787296733353
2026-08-07,354.29998779296875,370.85679508155494,169.69820754048473,359.95798819770124,368.36729016786404,368.3434113095904
2026-08-10,357.5199890136719,371.3032794871846,169.69820754048473,360.0400559788617,369.0924032387419,369.05048774644104
2026-08-11,343.79998779296875,371.73770450963536,169.69820754048473,360.1758647384655,369.12593566158836,369.0159206458116
2026-08-12,343.5400085449219,372.19142383423633,169.69820754048473,360.24430511147114,369.862507467286,369.79234320483613
2026-08-13,346.3599853515625,372.6376244742671,169.69820754048473,360.1875850687809,370.0506338162714,370.0221563579146
2026-08-14,345.8999938964844,373.06922691360677,169.69820754048473,360.059809700489,370.07029857379507,370.05331595333587
