Date,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL
2021-08-18,134.25851440429688,135.89946615420885,134.13213260953893,135.30027185515118,19258000
2021-08-19,134.48748779296875,135.15407772890381,133.0700634643301,133.25393417544944,21782000
2021-08-20,136.22161865234375,136.34502089676778,134.06127020467258,134.80467835737872,31194000
2021-08-23,138.81063842773438,139.63630956779562,136.39802587425726,136.75684366705852,28454000
2021-08-24,140.01991271972656,140.83121539533298,139.10502114709683,139.37561670216243,19268000
2021-08-25,140.83023071289062,140.9397636176069,140.13342175774235,140.38022622324365,15848000
2021-08-26,140.1973419189453,141.1657446019955,140.1145645733413,140.50411569948363,20610000
2021-08-27,142.73831176757812,143.2423415908645,140.25334264721428,140.40747821898057,28780000
2021-08-30,143.3196563720703,144.68753203308154,142.89590833586342,143.13082479723923,24434000
2021-08-31,143.4257049560547,143.89553786032653,143.01287695186656,143.8712627569478,22448000
2021-09-01,143.9391632080078,144.96853350536102,143.61008051608152,143.72555741436526,21936000
2021-09-02,142.02761840820312,144.2404946102544,141.9265099500036,143.9396648071746,32342000
2021-09-03,142.4761505126953,142.88799546511845,141.14891473928407,141.82294596604638,19850000
2021-09-07,143.0123748779297,143.29437443751178,142.35668998079893,142.57029576143597,20124000
2021-09-08,142.42803955078125,143.1308075175627,141.7431186990499,142.8334564312198,18344000
2021-09-09,142.2793731689453,143.04211051634226,141.9190731671668,142.57624028484273,15314000
2021-09-10,139.6378173828125,143.44654360921768,139.50102981067184,142.94497909491773,36840000
2021-09-13,141.0814971923828,141.6935625224341,140.00850740514775,140.7018527362788,22094000
2021-09-14,141.2916259765625,142.10294377890315,140.50411441226078,141.73866598781828,19674000
2021-09-15,143.1600799560547,143.1808915102632,140.10516764345076,141.51664778400357,27408000
2021-09-16,142.3477783203125,143.03171616692714,141.14990398479992,142.68528546421356,26190000
2021-09-17,139.56246948242188,142.18917178562248,139.23536813670114,141.7733642211635,53384000
2021-09-20,137.50025939941406,137.77829631791283,135.12384006043985,136.94716512358414,46518000
2021-09-21,137.81097412109375,138.78087395802407,137.06260535393932,138.5211682162939,25332000
2021-09-22,139.05050659179688,139.64870264345097,137.33373489370697,138.07962340432297,25056000
2021-09-23,139.97479248046875,140.45106842397635,139.16745257610253,139.74830050669846,20952000
2021-09-24,140.96502685546875,141.07952064576384,139.00837789075337,139.30326368063228,22984000
