Model,RMSE,MAE
AR,22.407209380460067,18.022178018083228
MA,169.28817021280975,163.93065295412427
ARIMA,17.339446311357186,13.210671716791108
SARIMA,21.271148764894587,17.0600777593445
SARIMAX,21.206272991033284,17.014719812524355
